[ 2016-08-18T13:44:19+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.010001s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.010001s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SELECT question.id AS id,question.ask_content AS ask_content,question.money_reward AS money_reward,question.solve AS solve,question.ask_time AS ask_time,question.cid AS cid,question.answer AS answer,question.uid AS uid,Index_user.username AS username,Index_user.experience AS experience FROM wl_question question LEFT JOIN wl_index_user Index_user ON question.uid = Index_user.id WHERE ( question.id = 2 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SHOW COLUMNS FROM `wl_answer` [ RunTime:0.010001s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,Index_user.id AS uid,Index_user.username AS username,Index_user.experience AS experience,Index_user.answer AS answer,Index_user.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user Index_user ON answer.uid=Index_user.id WHERE ( `qid` = 2 ) AND ( answer.adopt = 1 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SELECT COUNT(*) AS tp_count FROM `wl_answer` WHERE ( `qid` = 2 ) AND ( answer.adopt = 0 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,Index_user.id AS uid,Index_user.username AS username,Index_user.experience AS experience,Index_user.answer AS answer,Index_user.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user Index_user ON answer.uid=Index_user.id WHERE ( `qid` = 2 ) AND ( answer.adopt = 0 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_template ] --START--
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run LocationTemplate Behavior [ RunTime:0.004000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.004000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_parse ] --START--
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [2] date() expects parameter 2 to be long, string given f354fc626e6f7e38fd97a443b43fbcf1.php 第 105 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [2] date() expects parameter 2 to be long, string given f354fc626e6f7e38fd97a443b43fbcf1.php 第 105 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run ParseTemplate Behavior [ RunTime:0.031002s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031002s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_filter ] --START--
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run TokenBuild Behavior [ RunTime:0.004000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run ShowRuntime Behavior [ RunTime:0.002001s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009001s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_end ] --START--
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ route_check ] --START--
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run CheckRoute Behavior [ RunTime:0.004000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.004000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ app_begin ] --START--
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.012000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.012000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SELECT question.id AS id,question.ask_content AS ask_content,question.money_reward AS money_reward,question.solve AS solve,question.ask_time AS ask_time,question.cid AS cid,question.answer AS answer,question.uid AS uid,Index_user.username AS username,Index_user.experience AS experience FROM wl_question question LEFT JOIN wl_index_user Index_user ON question.uid = Index_user.id WHERE ( question.id = 2 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SHOW COLUMNS FROM `wl_answer` [ RunTime:0.010000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,Index_user.id AS uid,Index_user.username AS username,Index_user.experience AS experience,Index_user.answer AS answer,Index_user.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user Index_user ON answer.uid=Index_user.id WHERE ( `qid` = 2 ) AND ( answer.adopt = 1 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SELECT COUNT(*) AS tp_count FROM `wl_answer` WHERE ( `qid` = 2 ) AND ( answer.adopt = 0 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,Index_user.id AS uid,Index_user.username AS username,Index_user.experience AS experience,Index_user.answer AS answer,Index_user.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user Index_user ON answer.uid=Index_user.id WHERE ( `qid` = 2 ) AND ( answer.adopt = 0 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_template ] --START--
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run LocationTemplate Behavior [ RunTime:0.004000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.004000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_parse ] --START--
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [2] date() expects parameter 2 to be long, string given f354fc626e6f7e38fd97a443b43fbcf1.php 第 105 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [2] date() expects parameter 2 to be long, string given f354fc626e6f7e38fd97a443b43fbcf1.php 第 105 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run ParseTemplate Behavior [ RunTime:0.033002s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033002s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_filter ] --START--
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run TokenBuild Behavior [ RunTime:0.004000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run ShowRuntime Behavior [ RunTime:0.003000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_end ] --START--
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-08-18T16:44:30+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ route_check ] --START--
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ app_begin ] --START--
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.011000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.010000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SELECT question.id AS id,question.ask_content AS ask_content,question.money_reward AS money_reward,question.solve AS solve,question.ask_time AS ask_time,question.cid AS cid,question.answer AS answer,question.uid AS uid,Index_user.username AS username,Index_user.experience AS experience FROM wl_question question LEFT JOIN wl_index_user Index_user ON question.uid = Index_user.id WHERE ( question.id = 2 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SHOW COLUMNS FROM `wl_answer` [ RunTime:0.011001s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,Index_user.id AS uid,Index_user.username AS username,Index_user.experience AS experience,Index_user.answer AS answer,Index_user.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user Index_user ON answer.uid=Index_user.id WHERE ( `qid` = 2 ) AND ( answer.adopt = 1 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SELECT COUNT(*) AS tp_count FROM `wl_answer` WHERE ( `qid` = 2 ) AND ( answer.adopt = 0 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,Index_user.id AS uid,Index_user.username AS username,Index_user.experience AS experience,Index_user.answer AS answer,Index_user.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user Index_user ON answer.uid=Index_user.id WHERE ( `qid` = 2 ) AND ( answer.adopt = 0 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_template ] --START--
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_parse ] --START--
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [2] date() expects parameter 2 to be long, string given f354fc626e6f7e38fd97a443b43fbcf1.php 第 105 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [2] date() expects parameter 2 to be long, string given f354fc626e6f7e38fd97a443b43fbcf1.php 第 105 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 106 行.
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run ParseTemplate Behavior [ RunTime:0.025002s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025002s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_filter ] --START--
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_end ] --START--
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-08-18T16:44:31+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-08-18T16:44:39+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ route_check ] --START--
[ 2016-08-18T16:44:39+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-18T16:44:39+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-18T16:44:39+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ app_begin ] --START--
[ 2016-08-18T16:44:39+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-18T16:44:39+08:00 ] /QA/index.php/Show/index/id/2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-18T16:44:39+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.013001s ]
[ 2016-08-18T16:44:39+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.012001s ]
[ 2016-08-18T16:44:39+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SELECT question.id AS id,question.ask_content AS ask_content,question.money_reward AS money_reward,question.solve AS solve,question.ask_time AS ask_time,question.cid AS cid,question.answer AS answer,question.uid AS uid,Index_user.username AS username,Index_user.experience AS experience FROM wl_question question LEFT JOIN wl_index_user Index_user ON question.uid = Index_user.id WHERE ( question.id = 2 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-18T16:44:39+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SHOW COLUMNS FROM `wl_answer` [ RunTime:0.012000s ]
[ 2016-08-18T16:44:39+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,Index_user.id AS uid,Index_user.username AS username,Index_user.experience AS experience,Index_user.answer AS answer,Index_user.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user Index_user ON answer.uid=Index_user.id WHERE ( `qid` = 2 ) AND ( answer.adopt = 1 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-08-18T16:44:39+08:00 ] /QA/index.php/Show/index/id/2 | SQL: SELECT COUNT(*) AS tp_count FROM `wl_answer` WHERE ( `qid` = 2 ) AND ( answer.adopt = 0 ) LIMIT 1   [ RunTime:0.001000s ]
