[ 2016-05-30T20:29:58+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-05-30T23:42:13+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2016-05-30T23:42:13+08:00 ] /QA/index.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-05-30T23:42:13+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-05-30T23:42:13+08:00 ] /QA/index.php/Index/css/bootstrap.min.css | ERR: (ThinkException) 非法操作css
[ 2016-05-30T23:42:13+08:00 ] /QA/index.php/Index/css/main.css | ERR: (ThinkException) 非法操作css
[ 2016-05-30T23:44:57+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-05-30T23:44:57+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-05-30T23:44:57+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-05-30T23:44:58+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_indexuser` [ RunTime:0.010000s ]
[ 2016-05-30T23:44:58+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-05-30T23:44:58+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-05-30T23:44:58+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-05-30T23:44:58+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-05-30T23:44:58+08:00 ] /QA/ | NOTIC: [8] Undefined variable: v f9c22b8b40e560036663a0ce7ed378ae.php 第 286 行.
[ 2016-05-30T23:44:58+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.024002s ]
[ 2016-05-30T23:44:58+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024002s ]
[ 2016-05-30T23:44:58+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-05-30T23:44:58+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-05-30T23:44:58+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-05-30T23:44:58+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-05-30T23:44:58+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-05-30T23:44:58+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006000s ]
[ 2016-05-30T23:44:58+08:00 ] /QA/ | INFO: Tag[ view_end ] --START--
[ 2016-05-30T23:44:58+08:00 ] /QA/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-05-30T23:44:58+08:00 ] /QA/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-05-30T23:45:04+08:00 ] /QA/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2016-05-30T23:45:04+08:00 ] /QA/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.003001s ]
[ 2016-05-30T23:45:04+08:00 ] /QA/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003001s ]
[ 2016-05-30T23:45:04+08:00 ] /QA/index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2016-05-30T23:45:04+08:00 ] /QA/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-05-30T23:45:04+08:00 ] /QA/index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | SQL: SHOW COLUMNS FROM `wl_indexuser` [ RunTime:0.009000s ]
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | SQL: INSERT INTO `wl_indexuser` (`username`,`password`) VALUES ('fdg','354') [ RunTime:0.001000s ]
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002001s ]
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002001s ]
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | NOTIC: [8] Undefined variable: v f9c22b8b40e560036663a0ce7ed378ae.php 第 286 行.
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.023001s ]
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024001s ]
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006000s ]
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/css/bootstrap.min.css | ERR: (ThinkException) 非法操作css
[ 2016-05-30T23:45:05+08:00 ] /QA/index.php/Index/css/main.css | ERR: (ThinkException) 非法操作css
